Route.Stop,Max.Count,Latitude,Longitude,Color
667,1,45.04310964,-70.31305941,#FFFFB2
668,1,44.74211533,-71.45856751,#FFFFB2
670,1,44.74427031,-71.46422395,#FFFFB2
672,1,44.74514086,-71.46747001,#FFFFB2
673,1,44.05129639,-71.35663385,#FFFFB2
674,1,44.05351315,-71.35718521,#FFFFB2
676,1,43.97758626,-71.44097406,#FFFFB2
680,1,43.97587007,-71.44792073,#FFFFB2
686,1,44.14651,-74.04331,#FFFFB2
692,1,44.27957785,-71.34281728,#FFFFB2
693,1,44.27763367,-71.34438059,#FFFFB2
696,1,44.27185963,-71.34923925,#FFFFB2
700,1,45.25058286,-70.81543867,#FFFFB2
704,1,45.2471731,-70.81559063,#FFFFB2
706,1,45.24669173,-70.82183724,#FFFFB2
717,1,43.94361,-71.41315,#FFFFB2
722,1,44.19975758,-71.4636156,#FFFFB2
724,1,44.20074027,-71.46978937,#FFFFB2
728,1,45.19930481,-70.80493421,#FFFFB2
730,1,44.09082251,-71.75286728,#FFFFB2
740,1,44.43311605,-72.61221419,#FFFFB2
741,1,44.43492176,-72.61013363,#FFFFB2
742,1,44.4434475,-72.5921314,#FFFFB2
3,2,44.97603,-70.32124,#FED976
10,2,44.14751,-73.98647,#FED976
15,2,44.1358,-73.98389,#FED976
17,2,44.13912,-73.98803,#FED976
22,2,44.14111,-73.8436,#FED976
24,2,45.3130904,-71.04502352,#FED976
25,2,45.3130702,-71.04176112,#FED976
27,2,45.31084481,-71.03638572,#FED976
34,2,44.60216,-70.90149,#FED976
44,2,43.99095783,-72.93650273,#FED976
51,2,44.78124,-72.56016,#FED976
53,2,44.78563,-72.56099,#FED976
54,2,44.92278507,-72.53388078,#FED976
56,2,44.91979231,-72.53858336,#FED976
60,2,44.19167499,-73.84322215,#FED976
66,2,44.17669,-73.87021,#FED976
69,2,44.18008,-73.88121,#FED976
70,2,44.18021,-73.87801,#FED976
71,2,44.18088,-73.87503,#FED976
72,2,44.18219,-73.87249,#FED976
73,2,44.18276,-73.86936,#FED976
74,2,44.18277,-73.86623,#FED976
75,2,45.04085993,-70.44032872,#FED976
83,2,44.43839966,-72.83553106,#FED976
84,2,44.43615876,-72.83509981,#FED976
85,2,44.45192127,-72.83780918,#FED976
86,2,44.44970895,-72.8373299,#FED976
90,2,44.44279446,-72.84378438,#FED976
104,2,44.49561344,-71.41651886,#FED976
110,2,44.20614,-72.33564,#FED976
111,2,44.20764,-72.33794,#FED976
118,2,45.22388,-70.84721,#FED976
121,2,45.22787,-70.85014,#FED976
124,2,44.98983,-70.37371,#FED976
125,2,44.98772,-70.37251,#FED976
126,2,44.98643,-70.36981,#FED976
127,2,44.98526,-70.36409,#FED976
128,2,44.98301,-70.36416,#FED976
130,2,44.98101,-70.36987,#FED976
131,2,44.98114,-70.37307,#FED976
136,2,45.22464,-70.83173,#FED976
141,2,44.95887,-70.32237,#FED976
143,2,44.95499,-70.31937,#FED976
144,2,44.95281,-70.31882,#FED976
149,2,44.7632,-70.76517,#FED976
151,2,44.76061,-70.76007,#FED976
152,2,44.76003,-70.75701,#FED976
154,2,44.75988,-70.7507,#FED976
160,2,45.01828437,-70.34994733,#FED976
161,2,45.01602301,-70.34978497,#FED976
167,2,44.25677296,-71.17218277,#FED976
168,2,44.25874245,-71.1736419,#FED976
177,2,43.96535,-71.26807,#FED976
179,2,43.96226,-71.27225,#FED976
180,2,43.9602,-71.27348,#FED976
183,2,44.8128782,-71.48866693,#FED976
184,2,44.81109026,-71.4905428,#FED976
186,2,44.04327231,-72.90602135,#FED976
187,2,44.04118664,-72.90477572,#FED976
190,2,44.03488009,-72.90337737,#FED976
194,2,45.46878928,-70.11892481,#FED976
195,2,45.46755907,-70.12161733,#FED976
196,2,45.46619928,-70.11905087,#FED976
197,2,44.39734812,-71.31324811,#FED976
201,2,44.40022613,-71.30144807,#FED976
218,2,44.66029177,-71.76902499,#FED976
227,2,44.19991189,-71.29394978,#FED976
228,2,44.20217332,-71.29378919,#FED976
239,2,44.29088,-72.88426,#FED976
240,2,44.29312,-72.8842,#FED976
242,2,44.29684,-72.88077,#FED976
250,2,43.88065618,-72.98086806,#FED976
252,2,44.9046,-72.49652,#FED976
255,2,42.98162255,-73.0696346,#FED976
256,2,42.97952791,-73.07073573,#FED976
267,2,44.07175535,-71.50405769,#FED976
268,2,44.07384982,-71.50521624,#FED976
270,2,44.07749218,-71.5089192,#FED976
275,2,44.15736,-73.8164,#FED976
281,2,44.17995,-73.73736,#FED976
283,2,44.17988,-73.74244,#FED976
284,2,44.39486,-72.64732,#FED976
286,2,44.39162,-72.65147,#FED976
287,2,44.38951,-72.65266,#FED976
288,2,42.17575,-74.22903,#FED976
300,2,42.16642,-74.23245,#FED976
301,2,42.16817,-74.23435,#FED976
303,2,42.17217,-74.23387,#FED976
305,2,44.26547,-71.2767,#FED976
311,2,44.23524,-73.70673,#FED976
317,2,44.21345185,-71.30815929,#FED976
323,2,44.31239275,-73.68393087,#FED976
324,2,44.31258244,-73.68077408,#FED976
325,2,44.31237465,-73.67765626,#FED976
331,2,44.3094585,-71.28535951,#FED976
344,2,45.91511121,-68.90931811,#FED976
353,2,45.40564111,-70.55749574,#FED976
355,2,45.40997607,-70.55596227,#FED976
357,2,45.4141324,-70.55362011,#FED976
364,2,43.60109188,-72.80221375,#FED976
365,2,43.60067546,-72.80529301,#FED976
369,2,43.59873363,-72.81271921,#FED976
373,2,44.98100678,-70.36986809,#FED976
374,2,44.98113628,-70.37307233,#FED976
379,2,44.14429,-73.83118,#FED976
381,2,44.14827,-73.83267,#FED976
382,2,44.15,-73.83087,#FED976
383,2,44.15136,-73.82834,#FED976
386,2,44.70905199,-73.85917165,#FED976
394,2,44.32726,-71.26042,#FED976
401,2,45.07033741,-71.17531601,#FED976
408,2,44.54785,-72.80557,#FED976
412,2,44.54293,-72.81194,#FED976
414,2,44.52634,-72.81861,#FED976
415,2,44.52857,-72.81842,#FED976
421,2,44.52483,-72.80891,#FED976
424,2,44.52025,-72.81528,#FED976
428,2,45.4186774,-70.59435667,#FED976
442,2,44.03997109,-71.83511001,#FED976
444,2,44.03549893,-71.8351189,#FED976
445,2,44.0334172,-71.83393948,#FED976
447,2,44.02905291,-71.83219403,#FED976
449,2,44.41875843,-73.86535725,#FED976
450,2,44.41979955,-73.86256926,#FED976
452,2,44.4212373,-73.85660847,#FED976
453,2,44.42202302,-73.85373892,#FED976
460,2,44.3141,-71.3297,#FED976
462,2,44.31052,-71.3301,#FED976
466,2,44.02943328,-71.81596147,#FED976
470,2,44.03109524,-71.82615696,#FED976
471,2,44.02971122,-71.82869425,#FED976
472,2,44.15791,-72.92854,#FED976
473,2,44.16018,-72.92883,#FED976
474,2,44.16235,-72.92981,#FED976
476,2,44.16687,-72.92948,#FED976
478,2,44.31723691,-71.49215137,#FED976
490,2,45.19502618,-70.88776577,#FED976
491,2,45.19556288,-70.8846731,#FED976
492,2,45.19778693,-70.88500058,#FED976
503,2,44.1384572,-71.73532312,#FED976
504,2,44.13621973,-71.73553996,#FED976
511,2,43.99723076,-71.54652569,#FED976
512,2,43.99872878,-71.5396781,#FED976
546,2,42.13897,-74.17229,#FED976
553,2,45.25045319,-71.21676595,#FED976
554,2,45.25124436,-71.220528,#FED976
555,2,45.25327999,-71.22187246,#FED976
557,2,45.01202518,-70.37309663,#FED976
561,2,45.0185209,-70.37746151,#FED976
562,2,44.13980191,-71.30606616,#FED976
564,2,44.14084973,-71.31202368,#FED976
567,2,44.14648002,-71.31690538,#FED976
573,2,45.13198731,-71.10895003,#FED976
575,2,44.8447146,-70.63587458,#FED976
576,2,44.84460806,-70.63905777,#FED976
578,2,44.84487771,-70.64536968,#FED976
579,2,44.8447006,-70.64856738,#FED976
583,2,44.95983727,-70.45063041,#FED976
585,2,44.96374022,-70.44797972,#FED976
587,2,44.12573,-73.87001,#FED976
588,2,44.12569,-73.87314,#FED976
593,2,43.90072,-71.48166,#FED976
597,2,43.95415155,-71.43546891,#FED976
599,2,43.95022974,-71.43238815,#FED976
602,2,43.94542901,-71.42580123,#FED976
604,2,41.99888,-74.38407,#FED976
605,2,41.99971,-74.38686,#FED976
607,2,42.0004,-74.3928,#FED976
612,2,44.27622224,-73.72969204,#FED976
631,2,44.57133992,-70.96393481,#FED976
633,2,44.15174168,-71.31878226,#FED976
